2025-05-27 19:00:46,758 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1156
2025-05-27 19:00:46,771 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1160, MaxR=38.57, Pheno={'G_SPECIALIST': 1160, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:00:46,846 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1208, MaxR=40.29, Pheno={'G_SPECIALIST': 1207, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:00:46,924 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1260, MaxR=40.29, Pheno={'G_SPECIALIST': 1259, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,007 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1311, MaxR=41.39, Pheno={'G_SPECIALIST': 1306, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,093 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1357, MaxR=41.39, Pheno={'G_SPECIALIST': 1350, 'SWITCHING_GL': 7, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,181 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1401, MaxR=41.39, Pheno={'G_SPECIALIST': 1391, 'SWITCHING_GL': 10, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,273 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1449, MaxR=41.39, Pheno={'G_SPECIALIST': 1438, 'SWITCHING_GL': 11, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,366 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1490, MaxR=41.39, Pheno={'G_SPECIALIST': 1477, 'SWITCHING_GL': 13, 'L_SPECIALIST': 0}
2025-05-27 19:00:47,464 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1535, MaxR=41.39, Pheno={'G_SPECIALIST': 1518, 'SWITCHING_GL': 15, 'L_SPECIALIST': 2}
2025-05-27 19:00:47,564 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1574, MaxR=41.39, Pheno={'G_SPECIALIST': 1555, 'SWITCHING_GL': 15, 'L_SPECIALIST': 4}
2025-05-27 19:00:47,648 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1606
2025-05-27 19:00:47,666 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1609, MaxR=41.57, Pheno={'G_SPECIALIST': 1585, 'SWITCHING_GL': 18, 'L_SPECIALIST': 6}
2025-05-27 19:00:47,769 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1646, MaxR=43.09, Pheno={'G_SPECIALIST': 1618, 'SWITCHING_GL': 21, 'L_SPECIALIST': 7}
2025-05-27 19:00:47,874 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1679, MaxR=43.09, Pheno={'G_SPECIALIST': 1648, 'SWITCHING_GL': 22, 'L_SPECIALIST': 9}
2025-05-27 19:00:47,979 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1711, MaxR=44.23, Pheno={'G_SPECIALIST': 1673, 'SWITCHING_GL': 24, 'L_SPECIALIST': 14}
2025-05-27 19:00:48,095 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1756, MaxR=44.23, Pheno={'G_SPECIALIST': 1711, 'SWITCHING_GL': 30, 'L_SPECIALIST': 15}
2025-05-27 19:00:48,206 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1801, MaxR=44.23, Pheno={'G_SPECIALIST': 1745, 'SWITCHING_GL': 37, 'L_SPECIALIST': 19}
2025-05-27 19:00:48,321 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1841, MaxR=44.23, Pheno={'G_SPECIALIST': 1776, 'SWITCHING_GL': 42, 'L_SPECIALIST': 23}
2025-05-27 19:00:48,438 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1866, MaxR=45.40, Pheno={'G_SPECIALIST': 1795, 'SWITCHING_GL': 46, 'L_SPECIALIST': 25}
