2025-05-27 19:44:42,964 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1074, MaxR=40.73, Pheno={'G_SPECIALIST': 1073, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,024 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1109
2025-05-27 19:44:43,036 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1119, MaxR=40.95, Pheno={'G_SPECIALIST': 1116, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,109 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1157, MaxR=40.95, Pheno={'G_SPECIALIST': 1152, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,185 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1197, MaxR=40.95, Pheno={'G_SPECIALIST': 1192, 'SWITCHING_GL': 5, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,261 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1241, MaxR=40.95, Pheno={'G_SPECIALIST': 1234, 'SWITCHING_GL': 7, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,341 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1285, MaxR=40.95, Pheno={'G_SPECIALIST': 1276, 'SWITCHING_GL': 9, 'L_SPECIALIST': 0}
2025-05-27 19:44:43,425 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1338, MaxR=40.95, Pheno={'G_SPECIALIST': 1329, 'SWITCHING_GL': 7, 'L_SPECIALIST': 2}
2025-05-27 19:44:43,515 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1390, MaxR=40.95, Pheno={'G_SPECIALIST': 1380, 'SWITCHING_GL': 7, 'L_SPECIALIST': 3}
2025-05-27 19:44:43,606 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1445, MaxR=40.95, Pheno={'G_SPECIALIST': 1434, 'SWITCHING_GL': 8, 'L_SPECIALIST': 3}
2025-05-27 19:44:43,698 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1493, MaxR=41.61, Pheno={'G_SPECIALIST': 1479, 'SWITCHING_GL': 11, 'L_SPECIALIST': 3}
2025-05-27 19:44:43,793 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1542, MaxR=43.71, Pheno={'G_SPECIALIST': 1521, 'SWITCHING_GL': 14, 'L_SPECIALIST': 7}
2025-05-27 19:44:43,874 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1584
2025-05-27 19:44:43,892 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1588, MaxR=43.71, Pheno={'G_SPECIALIST': 1563, 'SWITCHING_GL': 18, 'L_SPECIALIST': 7}
2025-05-27 19:44:43,996 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1640, MaxR=43.71, Pheno={'G_SPECIALIST': 1606, 'SWITCHING_GL': 24, 'L_SPECIALIST': 10}
2025-05-27 19:44:44,101 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1678, MaxR=43.71, Pheno={'G_SPECIALIST': 1639, 'SWITCHING_GL': 29, 'L_SPECIALIST': 10}
2025-05-27 19:44:44,207 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1711, MaxR=43.71, Pheno={'G_SPECIALIST': 1666, 'SWITCHING_GL': 33, 'L_SPECIALIST': 12}
2025-05-27 19:44:44,315 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1747, MaxR=43.71, Pheno={'G_SPECIALIST': 1688, 'SWITCHING_GL': 43, 'L_SPECIALIST': 16}
2025-05-27 19:44:44,425 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1788, MaxR=43.71, Pheno={'G_SPECIALIST': 1717, 'SWITCHING_GL': 52, 'L_SPECIALIST': 19}
2025-05-27 19:44:44,539 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1830, MaxR=43.71, Pheno={'G_SPECIALIST': 1748, 'SWITCHING_GL': 56, 'L_SPECIALIST': 26}
2025-05-27 19:44:44,654 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1850, MaxR=44.80, Pheno={'G_SPECIALIST': 1763, 'SWITCHING_GL': 56, 'L_SPECIALIST': 31}
2025-05-27 19:44:44,773 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1881, MaxR=44.80, Pheno={'G_SPECIALIST': 1785, 'SWITCHING_GL': 61, 'L_SPECIALIST': 35}
2025-05-27 19:44:44,893 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1907, MaxR=44.80, Pheno={'G_SPECIALIST': 1806, 'SWITCHING_GL': 57, 'L_SPECIALIST': 44}
2025-05-27 19:44:44,993 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=1935
