2025-05-27 18:51:59,780 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1033, MaxR=34.60, Pheno={'G_SPECIALIST': 1033, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,848 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1070, MaxR=35.79, Pheno={'G_SPECIALIST': 1070, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,923 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1118, MaxR=36.37, Pheno={'G_SPECIALIST': 1118, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:51:59,997 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1162, MaxR=38.69, Pheno={'G_SPECIALIST': 1162, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:52:00,076 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1202, MaxR=38.69, Pheno={'G_SPECIALIST': 1202, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:52:00,155 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1254, MaxR=39.61, Pheno={'G_SPECIALIST': 1254, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 18:52:00,236 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1303, MaxR=40.84, Pheno={'G_SPECIALIST': 1302, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,326 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1343, MaxR=40.84, Pheno={'G_SPECIALIST': 1340, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,415 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1397, MaxR=41.39, Pheno={'G_SPECIALIST': 1389, 'SWITCHING_GL': 8, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,505 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1438, MaxR=41.61, Pheno={'G_SPECIALIST': 1426, 'SWITCHING_GL': 12, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,587 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1478
2025-05-27 18:52:00,604 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1481, MaxR=41.61, Pheno={'G_SPECIALIST': 1468, 'SWITCHING_GL': 13, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,699 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1524, MaxR=41.61, Pheno={'G_SPECIALIST': 1509, 'SWITCHING_GL': 15, 'L_SPECIALIST': 0}
2025-05-27 18:52:00,800 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1575, MaxR=41.61, Pheno={'G_SPECIALIST': 1555, 'SWITCHING_GL': 19, 'L_SPECIALIST': 1}
