2025-05-27 18:42:26,485 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=1693, MaxR=42.00, Pheno={'G_SPECIALIST': 1661, 'SWITCHING_GL': 26, 'L_SPECIALIST': 6}
2025-05-27 18:42:26,600 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=1734, MaxR=42.00, Pheno={'G_SPECIALIST': 1696, 'SWITCHING_GL': 30, 'L_SPECIALIST': 8}
2025-05-27 18:42:26,713 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=1774, MaxR=42.14, Pheno={'G_SPECIALIST': 1727, 'SWITCHING_GL': 37, 'L_SPECIALIST': 10}
2025-05-27 18:42:26,831 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=1806, MaxR=42.14, Pheno={'G_SPECIALIST': 1753, 'SWITCHING_GL': 41, 'L_SPECIALIST': 12}
2025-05-27 18:42:26,928 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=1851
2025-05-27 18:42:26,949 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=1853, MaxR=42.14, Pheno={'G_SPECIALIST': 1793, 'SWITCHING_GL': 47, 'L_SPECIALIST': 13}
2025-05-27 18:42:27,069 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=1898, MaxR=45.03, Pheno={'G_SPECIALIST': 1823, 'SWITCHING_GL': 50, 'L_SPECIALIST': 25}
2025-05-27 18:42:27,192 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=1930, MaxR=45.03, Pheno={'G_SPECIALIST': 1840, 'SWITCHING_GL': 60, 'L_SPECIALIST': 30}
2025-05-27 18:42:27,322 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=1966, MaxR=45.03, Pheno={'G_SPECIALIST': 1863, 'SWITCHING_GL': 67, 'L_SPECIALIST': 36}
2025-05-27 18:42:27,451 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=1997, MaxR=45.03, Pheno={'G_SPECIALIST': 1878, 'SWITCHING_GL': 77, 'L_SPECIALIST': 42}
