2025-05-27 19:50:09,128 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1241, MaxR=40.73, Pheno={'G_SPECIALIST': 1239, 'SWITCHING_GL': 2, 'L_SPECIALIST': 0}
2025-05-27 19:50:09,211 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1292, MaxR=41.24, Pheno={'G_SPECIALIST': 1289, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
2025-05-27 19:50:09,296 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1340, MaxR=41.24, Pheno={'G_SPECIALIST': 1336, 'SWITCHING_GL': 4, 'L_SPECIALIST': 0}
2025-05-27 19:50:09,383 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1386, MaxR=41.24, Pheno={'G_SPECIALIST': 1382, 'SWITCHING_GL': 4, 'L_SPECIALIST': 0}
2025-05-27 19:50:09,473 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1441, MaxR=42.04, Pheno={'G_SPECIALIST': 1436, 'L_SPECIALIST': 2, 'SWITCHING_GL': 3}
2025-05-27 19:50:09,566 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1490, MaxR=42.04, Pheno={'G_SPECIALIST': 1485, 'L_SPECIALIST': 2, 'SWITCHING_GL': 3}
2025-05-27 19:50:09,662 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1536, MaxR=42.04, Pheno={'G_SPECIALIST': 1528, 'L_SPECIALIST': 3, 'SWITCHING_GL': 5}
2025-05-27 19:50:09,762 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1588, MaxR=42.04, Pheno={'G_SPECIALIST': 1576, 'L_SPECIALIST': 3, 'SWITCHING_GL': 9}
2025-05-27 19:50:09,848 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1633
2025-05-27 19:50:09,865 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1635, MaxR=42.04, Pheno={'G_SPECIALIST': 1618, 'L_SPECIALIST': 3, 'SWITCHING_GL': 14}
