2025-05-27 19:42:18,860 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=40.00: Cells=728, MaxR=33.41, Pheno={'G_SPECIALIST': 728, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,910 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=41.00: Cells=769, MaxR=35.03, Pheno={'G_SPECIALIST': 769, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:18,962 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=42.00: Cells=796, MaxR=35.03, Pheno={'G_SPECIALIST': 796, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,016 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=43.00: Cells=823, MaxR=36.04, Pheno={'G_SPECIALIST': 823, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,068 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=44.00: Cells=856, MaxR=36.04, Pheno={'G_SPECIALIST': 856, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,123 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=45.00: Cells=905, MaxR=37.59, Pheno={'G_SPECIALIST': 905, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,183 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=46.00: Cells=956, MaxR=37.59, Pheno={'G_SPECIALIST': 956, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,244 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=47.00: Cells=1003, MaxR=37.75, Pheno={'G_SPECIALIST': 1003, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,309 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=48.00: Cells=1055, MaxR=37.99, Pheno={'G_SPECIALIST': 1055, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,379 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=49.00: Cells=1107, MaxR=39.23, Pheno={'G_SPECIALIST': 1107, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,438 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=50.00, Cells=1143
2025-05-27 19:42:19,450 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=50.00: Cells=1149, MaxR=39.23, Pheno={'G_SPECIALIST': 1149, 'L_SPECIALIST': 0, 'SWITCHING_GL': 0}
2025-05-27 19:42:19,526 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=51.00: Cells=1189, MaxR=40.36, Pheno={'G_SPECIALIST': 1188, 'SWITCHING_GL': 1, 'L_SPECIALIST': 0}
2025-05-27 19:42:19,603 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=52.00: Cells=1236, MaxR=41.68, Pheno={'G_SPECIALIST': 1233, 'SWITCHING_GL': 3, 'L_SPECIALIST': 0}
